section,id,label,value,unit,flag
cost,1,ICE LSGO,13275000,USD,INDICATIVE (manual mark)
cost,2,FOB premium,2250000,USD,OK
cost,3,TC hire,1410000,USD,INDICATIVE (charter/demurrage days assumed — confirm fixture)
cost,4,Demurrage,235000,USD,INDICATIVE (charter/demurrage days assumed — confirm fixture)
cost,5,NPA cargo dues,25200,USD,OK
cost,6,Port disbursement (DAs),49950,USD,OK
cost,7,NIMASA cabotage 2%,32900,USD,CONFIRM
cost,8,NIMASA gross freight levy 3%,49350,USD,CONFIRM
cost,9,SPOMO / CVFF 2%,32900,USD,CONFIRM
cost,10,NCS documentation,900,USD,OK
cost,11,WHT on freight 5%,82250,USD,CONFIRM
cost,12,VAT on freight 7.5% (recoverable),123375,USD,RECOVERABLE
cost,13,VAT on services 7.5% (recoverable),2403.75,USD,RECOVERABLE
cost,14,Marine insurance ICC(A) 0.125%,19406.25,USD,INDICATIVE
cost,15,SGS inspection,12000,USD,OK
cost,16,Port agency,10050,USD,OK
cost,17,Allocated security 0.029%,4502.25,USD,INDICATIVE
cost,18,LC issuance fee,174656.25,USD,INDICATIVE
cost,19,Credit interest (LC),153123.29,USD,INDICATIVE
cost,20,WC interest,11178.08,USD,INDICATIVE
cost,21,Bank charges,3000,USD,OK
cost,22,Overhead,5700,USD,OK
cost,23,Contingency,26250,USD,OK
cost,24,Collateral manager,10000,USD,OK
cost,25,Throughput,0,USD,OK
cost,26,Storage rental,0,USD,OK
cost,27,Evaporation 0.125%,0,USD,OK
cost,28,Tank insurance 0.05%,0,USD,OK
summary,,All-in landed cost,17873316.12,USD,
summary,,Landed cost/MT,1191.5544,USD/MT,
summary,,Ex-ship price/MT,1263.0477,USD/MT,PLACEHOLDER — confirm buyer price
summary,,Recoverable VAT,125778.75,USD,timing only
profit,,Standalone profit,1072398.97,USD,
profit,,Margin foregone,232875,USD,
profit,,Adjusted profit,839523.97,USD,
profit,,Partner cash profit share,293833.39,USD,
profit,,TIS net profit,545690.58,USD,
partner,,Product received (MT),3257.2999,MT,
partner,,Product value,3881250,USD,
partner,,Cash profit share,293833.39,USD,
